Month,Total_QTY_kg,Avg_Price_Rs_per_kg,Temperature_C,Rainfall_mm,Prev_Harvest_kg,Fertilizer_kg,Demand_Index,Supply_Index,Holiday,Prev_price
2019-03,320,335,28,70,260,55,0.55,0.5,0,315
2019-04,360,270,29,150,320,60,0.65,0.6,1,335
2019-05,520,355,30,100,360,70,0.9,0.85,1,270
2019-06,250,290,28,210,520,40,0.4,0.35,0,355
2019-07,70,280,27,250,250,30,0.15,0.1,0,290
2019-08,50,345,28,180,70,30,0.15,0.1,0,280
2019-09,200,355,29,120,50,35,0.35,0.3,0,345
2019-10,110,365,27,95,200,30,0.25,0.2,1,355
2019-11,260,355,28,130,110,50,0.45,0.4,0,365
2019-12,480,320,29,140,260,60,0.8,0.75,1,355
2020-01,180,270,28,120,200,50,0.45,0.4,0,250
2020-02,160,260,27,80,180,45,0.4,0.35,0,270
2020-03,200,280,28,60,160,55,0.5,0.45,0,260
2020-04,240,180,29,150,200,60,0.6,0.5,1,280
2020-05,380,280,30,100,240,70,0.85,0.8,1,180
2020-06,140,210,28,200,380,40,0.35,0.3,0,280
2020-07,50,200,27,250,140,30,0.15,0.1,0,210
2020-08,50,280,28,180,50,30,0.15,0.1,0,200
2020-09,120,275,29,120,50,35,0.35,0.3,0,280
2020-10,60,290,27,90,120,30,0.2,0.15,1,275
2020-11,150,280,28,130,60,50,0.4,0.35,0,290
2020-12,320,250,29,140,150,60,0.75,0.7,1,280
2021-01,200,280,28,110,320,50,0.5,0.45,0,250
2021-02,180,270,27,90,200,45,0.45,0.4,0,280
2021-03,220,290,28,70,180,55,0.55,0.5,0,270
2021-04,260,200,29,160,220,60,0.65,0.6,1,290
2021-05,400,290,30,100,260,70,0.9,0.85,1,200
2021-06,160,220,28,210,400,40,0.4,0.35,0,290
2021-07,50,200,27,260,160,30,0.15,0.1,0,220
2021-08,50,300,28,180,50,30,0.15,0.1,0,200
2021-09,130,310,29,120,50,35,0.35,0.3,0,300
2021-10,70,315,27,95,130,30,0.25,0.2,1,310
2021-11,160,290,28,135,70,50,0.45,0.4,0,315
2021-12,365,259,29,145,160,60,0.8,0.75,1,290
2022-01,280,270,28,115,365,50,0.55,0.5,0,259
2022-02,225,195,27,85,280,45,0.4,0.35,0,270
2022-03,455,222,28,65,225,55,0.85,0.8,0,195
2022-04,268,184,29,155,455,60,0.6,0.55,1,222
2022-05,422,293,30,105,268,70,0.9,0.85,1,184
2022-06,158,221,28,210,422,40,0.35,0.3,0,293
2022-07,50,200,27,255,158,30,0.15,0.1,0,221
2022-08,50,305,28,185,50,30,0.15,0.1,0,200
2022-09,124,310,29,125,50,35,0.35,0.3,0,305
2022-10,70,315,27,95,124,30,0.25,0.2,1,310
2022-11,200,310,28,130,70,50,0.45,0.4,0,315
2022-12,320,300,29,140,200,60,0.75,0.7,1,310
2023-01,180,285,28,110,320,50,0.5,0.45,0,300
2023-02,200,290,27,90,180,45,0.45,0.4,0,285
2023-03,246,292,28,70,200,55,0.55,0.5,0,290
2023-04,200,320,29,160,246,60,0.6,0.55,1,292
2023-05,210,330,30,100,200,70,0.65,0.6,1,320
2023-06,160,240,28,210,210,40,0.35,0.3,0,330
2023-07,50,220,27,250,160,30,0.15,0.1,0,240
2023-08,50,310,28,180,50,30,0.15,0.1,0,220
2023-09,50,300,29,120,50,35,0.15,0.1,0,310
2023-10,50,310,27,90,50,30,0.15,0.1,1,300
2023-11,71,320,28,130,50,50,0.2,0.15,0,310
2023-12,91,312,29,140,71,60,0.25,0.2,1,320
2024-01,180,280,28,115,91,50,0.5,0.45,0,312
2024-02,200,285,27,95,180,45,0.45,0.4,0,280
2024-03,220,290,28,70,200,55,0.55,0.5,0,285
2024-04,210,295,29,150,220,60,0.6,0.55,1,290
2024-05,230,300,30,100,210,70,0.65,0.6,1,295
2024-06,190,310,28,210,230,40,0.35,0.3,0,300
2024-07,100,320,27,250,190,30,0.2,0.15,0,310
2024-08,50,350,28,180,100,30,0.15,0.1,0,320
2024-09,279,222,29,120,50,35,0.4,0.35,0,350
2024-10,500,255,27,95,279,50,0.85,0.8,1,222
2024-11,425,241,28,135,500,60,0.75,0.7,1,255
2024-12,230,279,29,140,425,60,0.5,0.45,1,241
2025-01,515,330,28,115,230,70,0.9,0.85,0,279
2025-02,350,320,27,95,515,60,0.7,0.65,0,330
2025-03,100,330,28,70,350,45,0.2,0.15,0,320
2025-04,143,329,29,150,100,50,0.3,0.25,1,330
2025-05,199,288,28,100,143,55,0.4,0.35,0,329
2025-06,255,247,27,210,199,50,0.5,0.45,0,288
2025-07,550,183,28,250,255,40,0.95,0.9,1,247
2025-08,476,246,29,180,550,60,0.8,0.75,0,183
2025-09,318,203,28,120,476,55,0.6,0.55,0,246
2025-10,350,220,27,95,318,60,0.65,0.6,1,203
2025-11,240,260,28,130,350,50,0.45,0.4,0,220
2025-12,420,275,29,140,240,60,0.75,0.7,1,260
